doi,field,crossref,openalex,s2,label
10.18653/v1/2020.emnlp-demos.6,authors,Thomas Wolf; Lysandre Debut; Victor Sanh; Julien Chaumond; Clement Delangue; Anthony Moi; Pierric Cistac; Tim Rault; Remi Louf; Morgan Funtowicz; Joe Davison; Sam Shleifer; Patrick von Platen; Clara Ma; Yacine Jernite; Julien Plu; Canwen Xu; Teven Le Scao; Sylvain Gugger; Mariama Drame; Quentin Lhoest; Alexander Rush,,Thomas Wolf; Lysandre Debut; Victor Sanh; Julien Chaumond; C. Delangue; Anthony Moi; Pierric Cistac; Tim Rault; Rémi Louf; Morgan Funtowicz; Joe Davison; Sam Shleifer; Patrick von Platen; Clara Ma; Yacine Jernite; J. Plu; Canwen Xu; Teven Le Scao; Sylvain Gugger; Mariama Drame; Quentin Lhoest; Alexander M. Rush,variant
10.1016/j.buildenv.2010.05.012,authors,Edson R. Marciotto; Amauri P. Oliveira; Steven R. Hanna,,E. Marciotto; A. Oliveira; S. Hanna,variant
10.1016/j.buildenv.2013.11.016,year,2014,2013,2014,variant
10.1016/j.buildenv.2013.11.016,authors,Abdul Afram; Farrokh Janabi-Sharifi,Abdul Afram; Farrokh Janabi‐Sharifi,Abdul Afram; F. Janabi-Sharifi,variant
10.1109/TSG.2018.2834219,year,2019,2018,2017,substantive
10.1109/TSG.2018.2834219,authors,Elena Mocanu; Decebal Constantin Mocanu; Phuong H. Nguyen; Antonio Liotta; Michael E. Webber; Madeleine Gibescu; J. G. Slootweg,Elena Mocanu; Decebal Constantin Mocanu; Phuong H. Nguyen; Antonio Liotta; Michael E. Webber; Madeleine Gibescu; J.G. Slootweg,Elena Mocanu; D. Mocanu; Phuong H. Nguyen; A. Liotta; M. Webber; M. Gibescu; J. Slootweg,variant
10.1016/j.buildenv.2017.01.022,authors,Tomohiro Kobayashi; Kazuki Sugita; Noriko Umemiya; Takashi Kishimoto; Mats Sandberg,Tomohiro Kobayashi; Kazuki Sugita; Noriko Umemiya; Takashi Kishimoto; Mats Sandberg,Tomohiro Kobayashi; K. Sugita; N. Umemiya; T. Kishimoto; M. Sandberg,variant
10.1016/j.enbuild.2017.04.038,authors,Muhammad Waseem Ahmad; Monjur Mourshed; Yacine Rezgui,Muhammad Waseem Ahmad; Monjur Mourshed; Yacine Rezgui,M. Ahmad; M. Mourshed; Y. Rezgui,variant
10.1016/j.enbuild.2019.109538,pages,109538,109538-109538,109538,variant
10.1016/j.enbuild.2019.109538,authors,Mehmet Efe Biresselioglu; Muhittin Hakan Demir; Athar Rashid; Berfu Solak; Evrim Ozyorulmaz,Mehmet Efe Biresselioğlu; Muhittin Hakan Demir; Athar Rashid; Berfu Solak; Evrim Ozyorulmaz,M. Biresselioglu; M. Demir; A. Rashid; Berfu Solak; Evrim Ozyorulmaz,variant
10.1016/j.enbuild.2018.11.010,year,2019,2018,2019,variant
10.1007/s12273-018-0431-2,pages,633-645,633-645,633 - 645,variant
10.1016/j.egyr.2022.02.308,authors,Sel Ly; Songsak Sriboonchitta; Jiechen Tang; Wing-Keung Wong,Sel Ly; Songsak Sriboonchitta; Jiechen Tang; Wing‐Keung Wong,S. Ly; S. Sriboonchitta; Jiechen Tang; W. Wong,variant
10.1080/19401493.2014.891656,year,2015,2014,2015,variant
10.1080/19401493.2014.891656,pages,121-134,121-134,121 - 134,variant
10.1080/19401493.2014.891656,authors,Jie Zhao; Khee Poh Lam; B. Erik Ydstie; Omer T. Karaguzel,Jie Zhao; Khee Poh Lam; B. Erik Ydstie; Omer T. Karaguzel,Jie Zhao; Khee Poh Lam; B. Ydstie; O. Karaguzel,variant
10.1016/j.enbuild.2023.112835,authors,Jianyang Cai; Haidong Yang; Tiancheng Lai; Kangkang Xu,Jianyang Cai; Haidong Yang; Tiancheng Lai; Kang Xu,Jianyang Cai; Haidong Yang; Tiancheng Lai; Kangkang Xu,variant
10.1016/j.enbuild.2022.112602,year,2023,2022,2022,variant
10.1016/j.enbuild.2022.112602,authors,Iver Frimannslund; Thomas Thiis; Louise V. Skjøndal; Thomas Marke,Iver Frimannslund; Thomas K. Thiis; Louise V. Skjøndal; Thomas Marke,Iver Frimannslund; T. Thiis; Louise V. Skjøndal; T. Marke,variant
10.1016/j.eswa.2017.04.006,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2017.04.006,authors,Flavio Barboza; Herbert Kimura; Edward Altman,Flávio Barboza; Herbert Kimura; Edward I. Altman,Flavio Barboza; H. Kimura; E. Altman,variant
10.1111/rssa.12469,title,Retail Credit Scoring using Fine-Grained Payment Data,Retail Credit Scoring using Fine-Grained Payment Data,Retail credit scoring using fine‐grained payment data,variant
10.1111/rssa.12469,journal,Journal of the Royal Statistical Society Series A: Statistics in Society,Journal of the Royal Statistical Society Series A (Statistics in Society),Journal of the Royal Statistical Society: Series A (Statistics in Society),variant
10.1016/j.eswa.2017.02.017,journal,Expert Systems with Applications,,Expert Syst. Appl.,substantive
10.3390/risks6020038,journal,Risks,Risks,,substantive
10.3390/risks6020038,pages,38,38-38,38,variant
10.3390/risks6020038,authors,Peter Addo; Dominique Guegan; Bertrand Hassani,Peter Martey Addo; Dominique Guégan; Bertrand K. Hassani,P. Addo; D. Guégan; Bertrand K. Hassani,variant
10.1016/j.ejor.2021.03.006,title,Deep learning for credit scoring: Do or don’t?,Deep learning for credit scoring: Do or don’t?,Deep learning for credit scoring: Do or don't?,variant
10.1016/j.ejor.2021.03.006,journal,European Journal of Operational Research,European Journal of Operational Research,Eur. J. Oper. Res.,substantive
10.1016/j.ejor.2021.03.006,authors,Björn Rafn Gunnarsson; Seppe vanden Broucke; Bart Baesens; María Óskarsdóttir; Wilfried Lemahieu,Björn Rafn Gunnarsson; Seppe vanden Broucke; Bart Baesens; María Óskarsdóttir; Wilfried Lemahieu,B. Gunnarsson; S. V. Broucke; B. Baesens; M. Óskarsdóttir; Wilfried Lemahieu,variant
10.1002/asmb.2209,title,Deep learning for finance: deep portfolios,Deep learning for finance: deep portfolios,"Deep learning for finance: deep portfolios: J. B. HEATON, N. G. POLSON AND J. H. WITTE",substantive
10.1002/asmb.2209,year,2017,2016,2017,variant
10.1002/asmb.2209,authors,J. B. Heaton; N. G. Polson; J. H. Witte,J.B. Heaton; Nick Polson; J. H. Witte,J. B. Heaton; Nicholas G. Polson; J. Witte,variant
10.1016/j.ejor.2017.11.054,year,2018,2017,2017,variant
10.1016/j.ejor.2017.11.054,journal,European Journal of Operational Research,European Journal of Operational Research,Eur. J. Oper. Res.,substantive
10.1016/j.ejor.2017.11.054,authors,Thomas Fischer; Christopher Krauss,Thomas Fischer; Christopher Krauß,Thomas G. Fischer; C. Krauss,variant
10.1016/j.asoc.2018.10.004,year,2019,2018,2019,variant
10.1016/j.asoc.2018.10.004,journal,Applied Soft Computing,Applied Soft Computing,ArXiv,substantive
10.1016/j.asoc.2018.10.004,volume,74,74,abs/2002.09931,substantive
10.1016/j.asoc.2018.10.004,authors,María Óskarsdóttir; Cristián Bravo; Carlos Sarraute; Jan Vanthienen; Bart Baesens,María Óskarsdóttir; Cristián Bravo; Carlos Sarraute; Jan Vanthienen; Bart Baesens,M. Óskarsdóttir; Cristián Bravo; Carlos Sarraute; J. Vanthienen; B. Baesens,variant
10.1007/s10479-017-2668-z,year,2018,2017,2017,variant
10.1007/s10479-017-2668-z,pages,511-529,511-529,511 - 529,variant
10.1080/14697680903410015,year,2011,2010,2011,variant
10.1080/14697680903410015,pages,135-154,135-154,135 - 154,variant
10.1080/14697680903410015,authors,Shiyi Chen; W. K. Härdle; R. A. Moro,Shiyi Chen; Wolfgang Karl Härdle; Rouslan Moro,Shiyi Chen; W. Härdle; Russ A. Moro,variant
10.1016/j.ejor.2021.06.053,year,2022,2021,2021,variant
10.1016/j.ejor.2021.06.053,journal,European Journal of Operational Research,European Journal of Operational Research,Eur. J. Oper. Res.,substantive
10.1109/ACCESS.2020.3033784,authors,Talha Mahboob Alam; Kamran Shaukat; Ibrahim A. Hameed; Suhuai Luo; Muhammad Umer Sarwar; Shakir Shabbir; Jiaming Li; Matloob Khushi,Talha Mahboob Alam; Kamran Shaukat; Ibrahim A. Hameed; Suhuai Luo; Muhammad Umer Sarwar; Shakir Shabbir; Jiaming Li; Matloob Khushi,Talha Mahboob Alam; K. Shaukat; I. Hameed; S. Luo; Muhammad Umer Sarwar; Shakir Shabbir; Jiaming Li; Matloob Khushi,variant
10.1007/s11142-021-09609-5,year,2021,2021,2019,substantive
10.1007/s11142-021-09609-5,pages,1176-1248,1176-1248,1176 - 1248,variant
10.1007/s11142-021-09609-5,authors,Hans B. Christensen; Luzi Hail; Christian Leuz,Hans Bonde Christensen; Luzi Hail; Christian Leuz,Hans B. Christensen; Luzi Hail; C. Leuz,variant
10.1007/s11142-021-09611-x,year,2021,2021,2020,variant
10.1007/s11142-021-09611-x,pages,1137-1175,1137-1175,1137 - 1175,variant
10.1007/s11142-021-09611-x,authors,Benedikt Downar; Jürgen Ernstberger; Stefan Reichelstein; Sebastian Schwenen; Aleksandar Zaklan,Benedikt Downar; Jürgen Ernstberger; Stefan Reichelstein; Sebastian Schwenen; Aleksandar Zaklan,Benedikt Downar; J. Ernstberger; S. Reichelstein; Sebastian Schwenen; A. Zaklan,variant
10.1093/rfs/hhz137,year,2020,2019,2020,variant
10.1093/rfs/hhz137,journal,The Review of Financial Studies,Review of Financial Studies,The Review of Financial Studies,variant
10.1093/rfs/hhz137,authors,Philipp Krueger; Zacharias Sautner; Laura T Starks,Philipp Krueger; Zacharias Sautner; Laura T. Starks,Philipp Krueger; Z. Sautner; Laura T. Starks,variant
10.2308/accr.00000005,year,2011,2010,2011,variant
10.2308/accr.00000005,authors,Dan S. Dhaliwal; Oliver Zhen Li; Albert Tsang; Yong George Yang,Dan S. Dhaliwal; Oliver Zhen Li; Albert Tsang; Yong Yang,D. Dhaliwal; Oliver Zhen Li; Albert H. C. Tsang; Yong George Yang,variant
10.1016/j.frl.2020.101716,year,2021,2020,2020,variant
10.1016/j.frl.2020.101716,pages,101716,101716-101716,101716 - 101716,variant
10.1016/j.frl.2020.101716,authors,David C. Broadstock; Kalok Chan; Louis T.W. Cheng; Xiaowei Wang,David C. Broadstock; Kalok Chan; Louis T. W. Cheng; Xiaowei Wang,D. Broadstock; Kalok Chan; Louis T. W. Cheng; Xiaowei Wang,variant
10.1108/AAAJ-12-2013-1549,journal,"Accounting, Auditing &amp; Accountability Journal",Accounting Auditing & Accountability Journal,"Accounting, Auditing & Accountability Journal",variant
10.2308/accr-50629,year,2014,2013,2014,variant
10.2308/accr-50629,journal,The Accounting Review,The Accounting Review,Accounting review: A quarterly journal of the American Accounting Association,substantive
10.2308/accr-50629,authors,Ella Mae Matsumura; Rachna Prakash; Sandra C. Vera-Muñoz,Ella Mae Matsumura; Rachna Prakash; Sandra C. Vera‐Muñoz,E. M. Matsumura; Rachna Prakash; Sandra C. Vera-Muñoz,variant
10.1016/j.jcae.2014.08.003,title,Does voluntary carbon disclosure reflect underlying carbon performance?,Does voluntary carbon disclosure reflect underlying carbon performance?,Does voluntary carbon disclosure reflect underlying carbon performance,variant
10.1016/j.jcae.2014.08.003,journal,Journal of Contemporary Accounting &amp; Economics,Journal of Contemporary Accounting & Economics,Journal of Contemporary Accounting & Economics,variant
10.1016/j.jcae.2014.08.003,authors,Le Luo; Qingliang Tang,Le Luo; Qingliang Tang,L. Luo; Qingliang Tang,variant
10.1108/SAMPJ-08-2014-0050,journal,"Sustainability Accounting, Management and Policy Journal",Sustainability Accounting Management and Policy Journal,"Sustainability Accounting, Management and Policy Journal",variant
10.1108/SAMPJ-08-2014-0050,authors,Dominik Dienes; Remmer Sassen; Jasmin Fischer,Dominik Dienes; Remmer Sassen; Jasmin Fischer,D. Dienes; Remmer Sassen; J. Fischer,variant
10.1016/j.jclepro.2017.11.092,year,2018,2017,2018,variant
10.1016/j.jclepro.2017.11.092,authors,Wei Qian; Jacob Hörisch; Stefan Schaltegger,Wei Qian; Jacob Hörisch; Stefan Schaltegger,W. Qian; Jacob Hörisch; S. Schaltegger,variant
10.1002/csr.2134,title,Extending the benefits of <scp>ESG</scp> disclosure: The effect on the cost of debt financing,Extending the benefits of <scp>ESG</scp> disclosure: The effect on the cost of debt financing,"Extending the benefits of
 ESG
 disclosure: The effect on the cost of debt financing",variant
10.1002/csr.2134,volume,28,28,,substantive
10.1002/csr.2134,authors,Nicola Raimo; Alessandra Caragnano; Marianna Zito; Filippo Vitolla; Massimo Mariani,Nicola Raimo; Alessandra Caragnano; Marianna Zito; Filippo Vitolla; Massimo Mariani,Nicola Raimo; Alessandra Caragnano; Marianna Zito; Filippo Vitolla; M. Mariani,variant
10.1108/SAMPJ-07-2015-0055,journal,"Sustainability Accounting, Management and Policy Journal",Sustainability Accounting Management and Policy Journal,"Sustainability Accounting, Management and Policy Journal",variant
10.1108/SAMPJ-07-2015-0055,authors,Mahmoud Arayssi; Mustafa Dah; Mohammad Jizi,Mahmoud Arayssi; Mustafa A. Dah; Mohammad Jizi,Mahmoud Arayssi; Mustafa A. Dah; Mohammad I. Jizi,variant
10.18653/v1/D19-1410,journal,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),,ArXiv,substantive
10.18653/v1/2021.naacl-main.142,journal,Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,,North American Chapter of the Association for Computational Linguistics,substantive
10.1016/j.eswa.2019.03.012,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2019.03.012,authors,Kristijonas Čyras; David Birch; Yike Guo; Francesca Toni; Rajvinder Dulay; Sally Turvey; Daniel Greenberg; Tharindi Hapuarachchi,Kristijonas Čyras; David Birch; Yike Guo; Francesca Toni; Rajvinder Dulay; Sally Turvey; Daniel Greenberg; Tharindi Hapuarachchi,K. Čyras; David Birch; Yike Guo; Francesca Toni; Rajvinder Dulay; S. Turvey; Daniel Greenberg; T. Hapuarachchi,variant
10.1016/j.jbankfin.2015.04.031,journal,Journal of Banking &amp; Finance,Journal of Banking & Finance,Journal of Banking and Finance,variant
10.1016/j.jbankfin.2015.04.031,authors,Lucia Esposito; Andrea Nobili; Tiziano Ropele,Lucia Esposito; Andrea Nobili; Tiziano Ropele,L. Esposito; Andrea Nobili; Tiziano Ropele,variant
10.1016/j.ejor.2015.05.042,journal,European Journal of Operational Research,European Journal of Operational Research,Eur. J. Oper. Res.,substantive
10.1016/j.ejor.2015.05.042,authors,Chao Fu; Jian-Bo Yang; Shan-Lin Yang,Chao Fu; Jianbo Yang; Shanlin Yang,Chao Fu; Jianbo Yang; Shanlin Yang,variant
10.1057/jors.2015.25,year,2016,2015,2016,variant
10.1002/for.2519,title,Out‐of‐sample equity premium prediction: A scenario analysis approach,Out‐of‐sample equity premium prediction: A scenario analysis approach,Out-of-sample equity premium prediction: A scenario analysis approach: Out-of-sample equity premium prediction: A scenario analysis approach,substantive
10.1002/for.2519,authors,Xiaoxiao Tang; Feifang Hu; Peiming Wang,Xiaoxiao Tang; Feifang Hu; Peiming Wang,Xiaoxiao Tang; F. Hu; Peiming Wang,variant
10.1016/j.knosys.2021.106839,journal,Knowledge-Based Systems,Knowledge-Based Systems,Knowl. Based Syst.,substantive
10.1016/j.knosys.2021.106839,pages,106839,106839-106839,106839,variant
10.1016/j.knosys.2021.106839,authors,Pengshuai Yin; Jiayong Ye; Guoshen Lin; Qingyao Wu,Pengshuai Yin; Jiayong Ye; Guoshen Lin; Qingyao Wu,Pengshuai Yin; Jiayong Ye; Guosheng Lin; Qingyao Wu,variant
10.3390/ijfs9030036,authors,Saeed Md. Abdullah; Simon Zaby,Saeed Md. Abdullah; Simon Zaby,Saeed Abdullah; Simon Zaby,variant
10.1016/j.eswa.2021.115874,year,2022,2021,2022,variant
10.1016/j.eswa.2021.115874,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2021.115874,pages,115874,115874-115874,115874,variant
10.1016/j.eswa.2021.115874,authors,Henrique Evangelista de Oliveira; Leonardo Tomazeli Duarte; João Marcos Travassos Romano,Henrique Evangelista de Oliveira; Leonardo Tomazeli Duarte; João Marcos Travassos Romano,H. Oliveira; L. Duarte; J. Romano,variant
10.1145/2939672.2939785,title,XGBoost,XGBoost,XGBoost: A Scalable Tree Boosting System,substantive
10.1016/j.knosys.2020.105835,year,2020,2020,2019,variant
10.1016/j.knosys.2020.105835,journal,Knowledge-Based Systems,Knowledge-Based Systems,Knowl. Based Syst.,substantive
10.1016/j.knosys.2020.105835,pages,105835,105835-105835,105835,variant
10.1016/j.rser.2017.06.069,year,2018,2017,2018,variant
10.1016/j.rser.2017.06.069,journal,Renewable and Sustainable Energy Reviews,Renewable and Sustainable Energy Reviews,Renewable & Sustainable Energy Reviews,variant
10.1016/j.rser.2017.06.069,authors,Thiago Luz; Pedro Moura; Aníbal de Almeida,Thiago José da Luz; Pedro Moura; Anı́bal T. de Almeida,T. Luz; Pedro S. Moura; A. Almeida,variant
10.1016/j.enbuild.2019.109679,year,2020,2019,2020,variant
10.1016/j.enbuild.2019.109679,pages,109679,109679-109679,109679,variant
10.1016/j.enbuild.2019.109679,authors,Ramendra Kumar; Sanjeev Jain,Ramendra Kumar; Sanjeev Jain,Ramendra Kumar; S. Jain,variant
10.1016/j.egyr.2021.11.015,year,2022,2021,2021,variant
